station_id,station_name,total_starts,total_ends,net_imbalance,total_volume
8089.05,Broadway & W 153 St,955,844,111,1799
3879.04,Union St & Bedford Ave,3090,2979,111,6069
6134.03,Greenpoint Ave & 47 St,1491,1381,110,2872
6691.11,E 56 St & 3 Ave,8813,8704,109,17517
5129.01,Palmetto St & Traffic Ave,492,384,108,876
4010.13,Plaza St West & Flatbush Ave,6116,6008,108,12124
7745.07,W 120 St & Claremont Ave,3276,3169,107,6445
8358.1,Cabrini Blvd & W 177 St,107,0,107,107
5146.03,Stanhope St & Fairview Ave,1055,948,107,2003
8085.05,St Nicholas Ave & W 155 St,923,816,107,1739
6842.02,46 St & 28 Ave,1090,984,106,2074
6812.06,30 Ave & 41 St,2847,2741,106,5588
6200.03,53 St & Roosevelt Ave,819,713,106,1532
7997.08,W 145 St & Amsterdam Ave,2071,1966,105,4037
4386.05,Fulton St & Clermont Ave,3864,3760,104,7624
5190.09,Clinton St & Cherry St,6663,6559,104,13222
8262.07,W 171 St & St Nicholas Ave,1195,1092,103,2287
6560.14,W 40 St & 7 Ave,5588,5486,102,11074
7284.01,21 Ave & Crescent St,1921,1820,101,3741
6596.10,34 Ave & 45 St,716,615,101,1331
3831.03,Kingston Ave & Carroll St,1838,1737,101,3575
5575.13,Ave D & E 10 St,2345,2244,101,4589
6529.02,37 Ave & 35 St,1235,1135,100,2370
5057.07,67 Ave & Fresh Pond Rd,996,896,100,1892
8358.03,W 180 St & Ft Washington Ave,1829,1730,99,3559
6365.1,79 St & 37 Ave,442,343,99,785
8049.05,Edgecombe Ave & W 150 St,463,365,98,828
6379.03,1 Ave & E 44 St,6498,6401,97,12899
4500.07,Lexington Ave & Stuyvesant Ave,1464,1368,96,2832
6399.06,86 St & 37 Ave,795,700,95,1495
4526.01,Grove St & Broadway,2382,2287,95,4669
4519.02,Greene Ave & Nostrand Ave,3297,3203,94,6500
6912.01,7 Ave & Central Park South,14171,14077,94,28248
6782.01,31 Ave & Steinway St,3106,3013,93,6119
5736.09,E 14 St & Ave B,9008,8916,92,17924
5106.04,Greene Ave & Grandview Ave,1264,1172,92,2436
4568.01,Van Buren St & Broadway,1221,1129,92,2350
6016.06,48 St & 50 Ave,930,839,91,1769
6611.02,W 37 St & 10 Ave,11916,11826,90,23742
4072.02,Bergen St & Buffalo Ave,430,340,90,770
8104.10,Amsterdam Ave & W 156 St,697,608,89,1305
8453.14,W 190 St & St Nicholas Ave,608,519,89,1127
3768.02,Crown St & Rogers Ave,1175,1086,89,2261
3385.06,Prospect Park SW & Greenwood Ave,1535,1446,89,2981
6432.11,E 40 St & Park Ave,15105,15017,88,30122
8194.07,E 170 St & Sheridan Ave,949,861,88,1810
3981.1,Dwight St & Van Dyke St,291,203,88,494
5983.04,43 St & 50 Ave,1313,1226,87,2539
3593.01,Maple St & Flatbush Ave,1595,1508,87,3103
5545.01,E 7 St & Ave C,9598,9511,87,19109
3856.03,Flatbush Ave & Eastern Pkwy,583,496,87,1079
4467.03,Monroe St & Marcus Garvey Blvd,1696,1610,86,3306
5422.04,Howard St & Lafayette St,6503,6419,84,12922
5506.14,E 6 St & Ave D,7390,7306,84,14696
4193.14,1 Pl & Clinton St,3520,3436,84,6956
4146.02,Columbus Pl & Atlantic Ave,422,339,83,761
4847.03,Wyckoff Ave & Gates Ave,4705,4623,82,9328
6495.17,31 St & Northern Blvd,2677,2595,82,5272
8172.07,Amsterdam Ave & W 162 St,909,829,80,1738
6167.03,51 St & Queens Blvd,442,363,79,805
7524.09,West End Ave & W 94 St,3928,3850,78,7778
4244.06,Broadway & Furman Ave,545,467,78,1012
7123.04,W 64 St & Thelonious Monk Circle,10568,10490,78,21058
8458.03,Pinehurst Ave & W 187 St,1130,1054,76,2184
5779.11,Ave A & E 14 St,19676,19600,76,39276
6552.07,34 Ave & 89 St,1609,1534,75,3143
6614.01,28 St & 36 Ave,2056,1982,74,4038
3966.01,St Johns Pl & Utica Ave,929,855,74,1784
6398.06,W 37 St & 5 Ave,8723,8649,74,17372
8123.06,Broadway & W 157 St,2017,1943,74,3960
3978.13,Garfield Pl & 8 Ave,5079,5005,74,10084
6943.07,25 Ave & 41 St,2806,2732,74,5538
3579.04,Windsor Pl & Howard Pl,3376,3303,73,6679
8624.01,Webb Ave & W 190 St,454,382,72,836
5138.03,60 Pl & Bleecker St,430,358,72,788
4317.05,Bushwick Ave & Furman Ave,643,571,72,1214
4510.04,Greene Ave & Throop Ave,4011,3940,71,7951
5854.09,1 Ave & E 18 St,13136,13066,70,26202
5057.09,64 St & Woodbine St,579,510,69,1089
6839.04,E 58 St & Madison Ave,6764,6697,67,13461
7692.11,W 116 St & Amsterdam Ave,5537,5470,67,11007
4903.08,Old Fulton St,2481,2415,66,4896
